County_FIPS,County_Name,County_State,Hyperlink,Icon_Airports,Icon_Bridges,Icon_Demographics,Icon_Maritime,Icon_Railroad,Icon_Trips,State FIPS,State_Name,Non-Commercial -Civil Public Use Airports and Seaplane base,Non-Commercial -Other Aerodromes,Number of Bridges,Number of business establishments,Number of resident workers,Number of resident workers who commute to work in other countie,Number of resident workers who commute within county,Number of resident workers who work at home,Number of residents,Number of workers from other counties who commute to work in th,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Percent of resident workers who commute by transit,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Total Docks,Total Marinas
51700,Newport News city,"Newport News city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,4,95,"3,794","88,160","35,125","52,190","1,890","181,605","35,888",0.968421,0.031579,0.03539,1,42.3,15.2,4,0
51710,Norfolk city,"Norfolk city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,4,190,"5,377","124,485","42,225","81,365","5,300","245,725","42,903",0.994737,0.005263,0.039033,1,25.6,2.2,33,0
51131,Northampton County,"Northampton County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,10,15,310,"4,680","1,069","3,510",260,"12,120","1,178",1,0,0.012821,0,23.4,0,0,0
51133,Northumberland County,"Northumberland County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,7,16,309,"4,780","2,235","2,385",305,"12,270","2,389",1,0,0.003975,0,Null,Null,2,0
51720,Norton city,"Norton city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,2,20,212,"1,630","1,174",365,30,"3,980","1,274",0.9,0.1,0,0,7.8,0,Null,Null
51135,Nottoway County,"Nottoway County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,1,65,317,"5,690","1,841","3,795",185,"15,640","1,890",0.876923,0.123077,0.001757,0,34.5,0,Null,Null
51137,Orange County,"Orange County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,2,2,70,649,"15,540","9,405","5,585",815,"34,875","9,956",0.971429,0.028571,0.01287,0,29.9,29,Null,Null
51139,Page County,"Page County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,2,97,408,"10,200","4,382","5,555",455,"23,760","4,652",0.979381,0.020619,0.004412,0,32.8,0,Null,Null
51141,Patrick County,"Patrick County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,4,147,280,"7,245","1,934","3,845",125,"18,180","3,401",0.979592,0.020408,0.004831,0,Null,Null,Null,Null
51730,Petersburg city,"Petersburg city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,69,741,"12,960","8,305","4,615",370,"31,995","8,343",0.927536,0.072464,0.021914,0,21.3,10.1,Null,Null
51143,Pittsylvania County,"Pittsylvania County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,2,264,845,"27,180","14,962","10,495",880,"62,390","16,685",0.935606,0.064394,0.00184,0,58.3,37.8,Null,Null
51735,Poquoson city,"Poquoson city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,Null,Null,Null,212,"6,205","4,778","1,390",285,"12,070","4,833",Null,Null,0,Null,Null,Null,Null,Null
